number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
62,0.008385935798287392,2025-10-12 10:24:22.981031,2025-10-12 10:24:25.060261,0 days 00:00:02.079230,32,0.027019535878973974,96,3,0.0025541160678120883,45,14,PRUNED
63,0.014349065721035004,2025-10-12 10:24:25.061097,2025-10-12 10:24:27.288590,0 days 00:00:02.227493,64,0.4530224506567161,64,3,0.003373361380137422,45,14,PRUNED
64,0.010048705618828535,2025-10-12 10:24:27.289506,2025-10-12 10:24:30.469643,0 days 00:00:03.180137,64,0.43400488303739265,160,3,0.0035576681163873966,75,28,COMPLETE
65,0.009057503193616867,2025-10-12 10:24:30.470589,2025-10-12 10:24:33.529560,0 days 00:00:03.058971,96,0.49710598632839587,160,3,0.0013309486899976354,90,14,PRUNED
66,0.00902740063764596,2025-10-12 10:24:33.530411,2025-10-12 10:24:36.123406,0 days 00:00:02.592995,16,0.43637864937759563,96,3,0.0009513044178491192,90,14,PRUNED
67,0.006012454628944397,2025-10-12 10:24:36.124250,2025-10-12 10:24:38.011247,0 days 00:00:01.886997,96,0.30318203959967943,160,3,0.0027544372242579687,30,21,PRUNED
68,0.06799603253602982,2025-10-12 10:24:38.012007,2025-10-12 10:24:39.794445,0 days 00:00:01.782438,96,0.42048641312432383,96,3,0.004636555891176892,45,10,PRUNED
69,0.04201684519648552,2025-10-12 10:24:39.796210,2025-10-12 10:24:42.219327,0 days 00:00:02.423117,96,0.14904226459285788,96,3,0.0023092675864821114,75,7,PRUNED
70,0.09220776682638604,2025-10-12 10:24:42.220206,2025-10-12 10:24:48.951901,0 days 00:00:06.731695,48,0.08029839986932492,128,3,0.0018607003415136397,45,5,PRUNED
71,0.0034471217077225447,2025-10-12 10:24:48.952750,2025-10-12 10:24:51.093391,0 days 00:00:02.140641,48,0.07114951995550589,192,3,0.003806783817730969,45,21,PRUNED
72,0.04991361126303673,2025-10-12 10:24:51.094237,2025-10-12 10:24:52.976229,0 days 00:00:01.881992,48,0.01958150248079249,192,2,0.0048189587303321,75,7,PRUNED
73,0.008242926133486131,2025-10-12 10:24:52.977180,2025-10-12 10:24:55.776544,0 days 00:00:02.799364,128,0.3318976577841758,96,3,0.004035824025908026,45,28,COMPLETE
74,0.037608660757541656,2025-10-12 10:24:55.779839,2025-10-12 10:24:57.769524,0 days 00:00:01.989685,128,0.1387210523281132,192,3,0.0027354386059987106,45,7,PRUNED
75,0.00678196782246232,2025-10-12 10:24:57.770256,2025-10-12 10:24:59.687835,0 days 00:00:01.917579,48,0.18967013783299225,160,3,0.0013012078411981842,45,21,PRUNED
76,0.008337016877097389,2025-10-12 10:24:59.688661,2025-10-12 10:25:03.282906,0 days 00:00:03.594245,32,0.4738664233495414,64,3,0.0038442479509389438,75,21,COMPLETE
77,0.005325499922037125,2025-10-12 10:25:03.283929,2025-10-12 10:25:05.071133,0 days 00:00:01.787204,48,0.21423692145969647,64,3,0.0036081644367626994,30,21,PRUNED
